operateur,id_support,technologie,adresse0,adresse1,adresse2,adresse3,code_postal,coordonnees,statut,statut_last,statut_old
FREE MOBILE,1589006,LTE 2100,,112 À 116 R DE LA BUGELLERIE,,,86000,"46.603888888889, .327222222222",Projet approuvé,En service,Projet approuvé
FREE MOBILE,1572219,LTE 2100,,Impasse Fagot,,,39100,"47.097222222222, 5.493055555556",Projet approuvé,En service,Projet approuvé
FREE MOBILE,1557795,LTE 2100,,rue mazieres,,,18000,"47.064166666667, 2.391944444444",Projet approuvé,En service,Projet approuvé
FREE MOBILE,1508679,LTE 2100,Le Champ Robinson,avenue René de Chateaubriand,,,35190,"48.338333333333, -1.821944444444",Projet approuvé,En service,Projet approuvé
FREE MOBILE,1527188,LTE 2100,Auf Tiesnichfohren,parc d'activité communautaire,Près A4,,57450,"49.113055555556, 6.846111111111",Projet approuvé,En service,Projet approuvé
FREE MOBILE,1488869,LTE 2100,,ALLEE DE BRETAGNE,,,26300,"45.020833333333, 5.040555555556",Projet approuvé,En service,Projet approuvé
FREE MOBILE,1475730,LTE 2100,,Avenue marechal Foch,,,26270,"44.749722222222, 4.814722222222",Projet approuvé,En service,Projet approuvé
FREE MOBILE,1492021,LTE 2100,,Bd Clément Ader,ZAC Object IFS Sud,,14123,"49.140833333333, -.327222222222",Projet approuvé,En service,Projet approuvé
FREE MOBILE,1483383,LTE 2100,,route des Vallees,,,77850,"48.438333333333, 2.773888888889",Projet approuvé,En service,Projet approuvé
FREE MOBILE,1484667,LTE 2100,CLOS DE LA CROIX,R DU CHALONGE,,,22960,"48.443333333333, -2.751111111111",Projet approuvé,En service,Projet approuvé
FREE MOBILE,1688741,LTE 2100,,15 Boulevard de Préval,,,22100,"48.458055555556, -2.064444444444",Projet approuvé,En service,Projet approuvé
FREE MOBILE,1681692,LTE 2100,St Marc sur Mer,chem du camp de la torpille,,,44600,"47.238333333333, -2.300277777778",Projet approuvé,En service,Projet approuvé
FREE MOBILE,1689544,LTE 2100,,130 rue de la Madone,,,69210,"45.836111111111, 4.623888888889",Projet approuvé,En service,Projet approuvé
FREE MOBILE,1681909,LTE 2100,Route du Luc,HLM de la route de Nice,,,83170,"43.405555555556, 6.075555555556",Projet approuvé,En service,Projet approuvé
FREE MOBILE,1715846,5G NR 700,,R DE BRIANGAUD,ZI DE REDON,,35600,"47.670555555556, -2.070555555556",Projet approuvé,Techniquement opérationnel,Projet approuvé
FREE MOBILE,1683017,LTE 2100,L'Epinette,rte de Lagny,,,77131,"48.734444444444, 2.9775",Projet approuvé,En service,Projet approuvé
FREE MOBILE,1684358,LTE 2100,,55 CHS CHAUSSEE BRUNEHAUT,,,59750,"50.294444444444, 3.9225",Projet approuvé,En service,Projet approuvé
FREE MOBILE,1676378,LTE 2100,,"POSTE RTE DES SAULES, RTE DE ST CYR",,,78280,"48.790555555556, 2.061388888889",Projet approuvé,En service,Projet approuvé
FREE MOBILE,1650981,LTE 2100,,44 rue Léon Perrin,,,1000,"46.194166666667, 5.233611111111",Projet approuvé,En service,Projet approuvé
FREE MOBILE,1623371,5G NR 3500,,72 AVENUE RENE PANHARD,,,94320,"48.764166666667, 2.393888888889",Projet approuvé,Techniquement opérationnel,Projet approuvé
FREE MOBILE,1655944,LTE 2100,,Allée des Sports,,,63800,"45.741111111111, 3.213611111111",Projet approuvé,En service,Projet approuvé
FREE MOBILE,1673416,LTE 2100,,2 R DENIS PAPIN SARL NICOLAS,,,14120,"49.159722222222, -.305277777778",Projet approuvé,En service,Projet approuvé
FREE MOBILE,1656887,LTE 2100,Les Chavannes,Chemin des Glières,,,74190,"45.933888888889, 6.73",Projet approuvé,En service,Projet approuvé
FREE MOBILE,1642935,LTE 2100,,AV DES PLATANES,Résidence  NICOLAS DUBOIS,,59230,"50.452777777778, 3.431111111111",Projet approuvé,En service,Projet approuvé
FREE MOBILE,1623243,LTE 2100,,Avenue du lac Leman,,,73370,"45.645, 5.873333333333",Projet approuvé,En service,Projet approuvé
FREE MOBILE,1778730,LTE 2100,,ALLÉE DES FLEURS,,,1100,"46.283333333333, 5.66",Projet approuvé,En service,Projet approuvé
FREE MOBILE,1794418,LTE 2100,,65 RUE DE PROFONDVILLE,Residence L EMERILLON,,6190,"43.764722222222, 7.483611111111",Projet approuvé,En service,Projet approuvé
FREE MOBILE,1780216,5G NR 700,DÉRONTAY,chem du grand etang D904,TERRAIN COMMUNAL,,1480,"46.003888888889, 4.866944444444",Projet approuvé,Techniquement opérationnel,Projet approuvé
FREE MOBILE,1843375,LTE 2100,,"9, rue de Téhéran",,,75008,"48.876111111111, 2.3125",Projet approuvé,En service,Projet approuvé
FREE MOBILE,1843961,LTE 2100,Le Mas de Feylet,chem des Chasseurs,,,38121,"45.476944444444, 4.850555555556",Projet approuvé,En service,Projet approuvé
FREE MOBILE,1790787,LTE 2100,,4 AVENUE SALVADOR ALLENDE,,,26100,"45.033333333333, 5.040277777778",Projet approuvé,En service,Projet approuvé
FREE MOBILE,1825036,5G NR 3500,Pont du Routoir,8 ALLEE DE VERSAILLES,résidence le cadre de vie,,78280,"48.772777777778, 2.079722222222",Projet approuvé,Techniquement opérationnel,Projet approuvé
FREE MOBILE,1792154,LTE 2100,,669 avenue de Dunkerque,,,59000,"50.646111111111, 2.996111111111",Projet approuvé,En service,Projet approuvé
FREE MOBILE,1724231,LTE 2100,,36 Route de la falaise,,,78126,"48.936388888889, 1.836388888889",Projet approuvé,En service,Projet approuvé
FREE MOBILE,1735565,LTE 2100,Pech Merle,,,,46300,"44.749166666667, 1.419444444444",Projet approuvé,En service,Projet approuvé
FREE MOBILE,1728034,LTE 2100,,Rue des Fours,,,41330,"47.633055555556, 1.291111111111",Projet approuvé,En service,Projet approuvé
FREE MOBILE,1755596,LTE 2100,GOEZERT,Imp des Mélèzes,,,57330,"49.393055555556, 6.164722222222",Projet approuvé,En service,Projet approuvé
FREE MOBILE,1719554,LTE 2100,,20 rue Auguste Moutié,,,78120,"48.645555555556, 1.8375",Projet approuvé,En service,Projet approuvé
FREE MOBILE,1730540,LTE 2100,,Camping les Ajoncs d'Or,Route DU ROCHER,,44500,"47.294444444444, -2.381111111111",Projet approuvé,En service,Projet approuvé
FREE MOBILE,1720257,LTE 2100,,44 rue de Sèvres,,,92410,"48.825833333333, 2.196388888889",Projet approuvé,En service,Projet approuvé
FREE MOBILE,1720653,LTE 2100,Cap Roux,Av de la Liberté,Basse Corniche,,6360,"43.716111111111, 7.350277777778",Projet approuvé,En service,Projet approuvé
FREE MOBILE,1953517,LTE 2100,LES HAUTS DE VALLIERES,40 RUE DES MARRONNIERS,,,57000,"49.133055555556, 6.216111111111",Projet approuvé,En service,Projet approuvé
FREE MOBILE,1953737,LTE 2100,,200 AVENUE JEAN MERMOZ,,,64000,"43.317777777778, -.378333333333",Projet approuvé,En service,Projet approuvé
FREE MOBILE,1966901,LTE 2100,L'Alouette,15 Av de Beutre,,,33600,"44.799166666667, -.665833333333",Projet approuvé,En service,Projet approuvé
FREE MOBILE,1942322,LTE 2100,,49 RUE DE PONTHIEU,,,75008,"48.871666666667, 2.306111111111",Projet approuvé,En service,Projet approuvé
FREE MOBILE,1928737,LTE 2100,,14 RUE FELICIEN DAVID,,,75016,"48.850277777778, 2.274722222222",Projet approuvé,En service,Projet approuvé
FREE MOBILE,1894921,LTE 2100,ZONE ARTISANALE DU VIGNAUD,RUE DU VIGNAUD,ZONE ARTISANALE DU VIGNAUD,,86000,"46.579444444444, .313611111111",Projet approuvé,En service,Projet approuvé
FREE MOBILE,1897422,LTE 2100,,13 rue Jean Bart,,,33600,"44.784722222222, -.668611111111",Projet approuvé,En service,Projet approuvé
FREE MOBILE,1909286,LTE 2100,LES TERRES PETRAULT,,,,71150,"46.923611111111, 4.820277777778",Projet approuvé,En service,Projet approuvé
FREE MOBILE,1899964,LTE 2100,,21 RUE PROFESSEUR VICTOR PAUCHET,,,92420,"48.847222222222, 2.176944444444",Projet approuvé,En service,Projet approuvé
FREE MOBILE,1901359,LTE 2100,,HLM LES MAURELS,AVENUE DES COMBATTANTS EN AFRIQUE DU NORD,,83400,"43.121944444444, 6.110555555556",Projet approuvé,En service,Projet approuvé
FREE MOBILE,1903036,LTE 2100,LA CROIX AUX BUIS,CHEMIN RURAL N°12 DIT DE GOMBERVILLE,,,78114,"48.722222222222, 2.071944444444",Projet approuvé,En service,Projet approuvé
FREE MOBILE,1903324,LTE 2100,,11 r de l'Abbé Derry,,,92130,"48.822222222222, 2.279444444444",Projet approuvé,En service,Projet approuvé
FREE MOBILE,1906241,LTE 2100,KERGROEZ,ROUTE DE LA SAUDRAYE,,,56520,"47.7825, -3.489166666667",Projet approuvé,En service,Projet approuvé
FREE MOBILE,2079730,LTE 2100,LE BENNEVY,CHEMIN DE CHEZ ROCH,,,74500,"46.396944444444, 6.586388888889",Projet approuvé,En service,Projet approuvé
FREE MOBILE,2045870,LTE 2100,,1327 AVENUE DE LA HOUILLE BLANCHE,,,73000,"45.588888888889, 5.8875",Projet approuvé,En service,Projet approuvé
FREE MOBILE,2102436,LTE 2100,,3 RUE DE LA BANQUE,,,75002,"48.866388888889, 2.34",Projet approuvé,En service,Projet approuvé
FREE MOBILE,2062458,LTE 2100,LA PIGACHE,,,,14123,"49.1525, -.315277777778",Projet approuvé,En service,Projet approuvé
FREE MOBILE,2085984,LTE 2100,,ZI de Magré21 rue Santos Dumont,,,87000,"45.811388888889, 1.277777777778",Projet approuvé,En service,Projet approuvé
FREE MOBILE,2104244,LTE 2100,LE MONT,RUE DE LA MONTAGNE,,,71260,"46.396666666667, 4.849444444444",Projet approuvé,En service,Projet approuvé
FREE MOBILE,2105148,LTE 2100,,RUE DE PASSEIRIER,,,74800,"46.065833333333, 6.355555555556",Projet approuvé,En service,Projet approuvé
FREE MOBILE,2090795,LTE 2100,,10 AVENUE DE LA FOSSE DES PRESSOIRS,,,77700,"48.870833333333, 2.809444444444",Projet approuvé,En service,Projet approuvé
FREE MOBILE,2091330,LTE 2100,,LA PIECE DE LA GUERAIS,,,22650,"48.585555555556, -2.130555555556",Projet approuvé,En service,Projet approuvé
FREE MOBILE,2092876,LTE 2100,,RUE DU CHEMIN NOE,,,22360,"48.485277777778, -2.688055555556",Projet approuvé,En service,Projet approuvé
FREE MOBILE,2056745,LTE 2100,,RUE JEAN COCTEAU,,,76330,"49.4875, .580555555556",Projet approuvé,En service,Projet approuvé
FREE MOBILE,2095325,LTE 2100,,7 RUE DU MOUZON,,,54520,"48.696111111111, 6.119722222222",Projet approuvé,En service,Projet approuvé
FREE MOBILE,2059705,LTE 2100,,1 RUE DU ROLE,,,91800,"48.7, 2.507777777778",Projet approuvé,En service,Projet approuvé
FREE MOBILE,2078439,LTE 2100,,RUE LEON JOUHAUX,,,50000,"49.114444444444, -1.054722222222",Projet approuvé,En service,Projet approuvé
FREE MOBILE,2097086,LTE 2100,,RUE ANTOINE DE SAINT EXUPERY,,,72300,"47.837222222222, -.313333333333",Projet approuvé,En service,Projet approuvé
FREE MOBILE,1976004,LTE 2100,,RUE DE LA RACHE,,,59211,"50.6, 2.978611111111",Projet approuvé,En service,Projet approuvé
FREE MOBILE,2034464,LTE 2100,,220 RUE FRANCIS THOMAS,,,29200,"48.398888888889, -4.530277777778",Projet approuvé,En service,Projet approuvé
FREE MOBILE,2001762,LTE 2100,,STADES DES SALINES AVENUE DES FLORALIES,,,44500,"47.29, -2.398055555556",Projet approuvé,En service,Projet approuvé
FREE MOBILE,2023973,LTE 2100,,QUAI DE LA JETEE DE L EST,,,14600,"49.425277777778, .256666666667",Projet approuvé,En service,Projet approuvé
FREE MOBILE,2004482,LTE 2100,,8 RUE MICHEL RONDET,,,42400,"45.486111111111, 4.513333333333",Projet approuvé,En service,Projet approuvé
FREE MOBILE,2005666,LTE 2100,Beg Ménez,RN vers Beg Ménez / Voie com. n°3,Stade Robert Gléonec,,29940,"47.913333333333, -3.956944444444",Projet approuvé,En service,Projet approuvé
FREE MOBILE,2005720,LTE 2100,Les Basses Garces,r de chauffour,GR 111B,,91150,"48.429166666667, 2.140277777778",Projet approuvé,En service,Projet approuvé
FREE MOBILE,2028184,LTE 2100,,imp st laurent,imm araban,,6000,"43.693888888889, 7.246666666667",Projet approuvé,En service,Projet approuvé
FREE MOBILE,2028496,LTE 2100,,457 RUE NICOLAS PARENT,,,73000,"45.573611111111, 5.913333333333",Projet approuvé,En service,Projet approuvé
FREE MOBILE,2009454,LTE 2100,Stade Montréal,BOULEVARD DE MONTREAL,TERRAIN DE SPORT,,72200,"47.696944444444, -.070555555556",Projet approuvé,En service,Projet approuvé
FREE MOBILE,2200588,LTE 2100,,13 résidence Vallée Collin,,,91150,"48.440833333333, 2.150833333333",Projet approuvé,En service,Projet approuvé
FREE MOBILE,2214795,LTE 2100,Combre Robin,D105 - Route de Chaignay,,,21120,"47.472777777778, 5.13",Projet approuvé,En service,Projet approuvé
FREE MOBILE,2215377,LTE 2100,,3 AVENUE ANTOINE DUFAU,,,40000,"43.893611111111, -.496111111111",Projet approuvé,En service,Projet approuvé
FREE MOBILE,2246699,LTE 2100,,4 PASSAGE D'EGRIGNY,,,44510,"47.272222222222, -2.425555555556",Projet approuvé,En service,Projet approuvé
FREE MOBILE,2215771,LTE 2100,PORTE DES ESSARTS,R LIONEL TERRAY,BD LAURENT BONNEVAY,ECHANGEUR PERIPHERIQUE,69500,"45.728333333333, 4.895833333333",Projet approuvé,En service,Projet approuvé
FREE MOBILE,2231798,LTE 2600,,1340 R DE LA PISCINE,,,38610,"45.195, 5.77",Projet approuvé,En service,Projet approuvé
FREE MOBILE,2231798,UMTS 900,,1340 R DE LA PISCINE,,,38610,"45.195, 5.77",Projet approuvé,En service,Projet approuvé
FREE MOBILE,2231798,LTE 1800,,1340 R DE LA PISCINE,,,38610,"45.195, 5.77",Projet approuvé,En service,Projet approuvé
FREE MOBILE,2232550,LTE 1800,Le Coulant d'Eau,D 68,,,27220,"48.900555555556, 1.356944444444",Projet approuvé,En service,Projet approuvé
FREE MOBILE,2232550,LTE 2600,Le Coulant d'Eau,D 68,,,27220,"48.900555555556, 1.356944444444",Projet approuvé,En service,Projet approuvé
FREE MOBILE,2232550,UMTS 900,Le Coulant d'Eau,D 68,,,27220,"48.900555555556, 1.356944444444",Projet approuvé,En service,Projet approuvé
FREE MOBILE,2250769,LTE 2100,,RUE AUGUSTE DELAUNE,STADE MUNICIPAL,,30100,"44.145277777778, 4.087777777778",Projet approuvé,En service,Projet approuvé
FREE MOBILE,2209802,LTE 2100,LA VIGNASSE,PRES DE LA D 617,,,66140,"42.706944444444, 2.981388888889",Projet approuvé,En service,Projet approuvé
FREE MOBILE,2257280,LTE 2100,,840 AVENUE D ARGELES SUR MER,,,66000,"42.678055555556, 2.911944444444",Projet approuvé,En service,Projet approuvé
FREE MOBILE,2210146,LTE 2100,Le Bois Roger,Chemin du Bois Roger à Fruncé,,,28190,"48.396666666667, 1.155",Projet approuvé,En service,Projet approuvé
FREE MOBILE,2251919,LTE 2100,,24 BOULEVARD CORPS FRANC POMMIES,,,64000,"43.308055555556, -.338055555556",Projet approuvé,En service,Projet approuvé
FREE MOBILE,2225183,LTE 2100,,3 AVENUE DU 8 MAI 1945,,,91150,"48.438888888889, 2.160833333333",Projet approuvé,En service,Projet approuvé
FREE MOBILE,2241942,LTE 2100,,Rue de la Libération,,,73000,"45.566944444444, 5.942222222222",Projet approuvé,En service,Projet approuvé
FREE MOBILE,2197523,LTE 2100,,Résidence Les Chardonnerets,"17B, rue Victor HUGO",,54110,"48.637222222222, 6.320833333333",Projet approuvé,En service,Projet approuvé
FREE MOBILE,2211447,LTE 2100,,1-3 Allée Alfred Costes,,,92100,"48.825833333333, 2.235277777778",Projet approuvé,En service,Projet approuvé
FREE MOBILE,2197747,LTE 2100,,Rue du Général Leclerc,,,72300,"47.843611111111, -.338055555556",Projet approuvé,En service,Projet approuvé
FREE MOBILE,2122805,LTE 2100,,LES ETANGS,,,42160,"45.540277777778, 4.277777777778",Projet approuvé,En service,Projet approuvé
FREE MOBILE,2163884,LTE 2100,,av de guerche,,,44250,"47.243611111111, -2.162777777778",Projet approuvé,En service,Projet approuvé
FREE MOBILE,2186231,LTE 2100,,115/117 RUE DE LA REPUBLIQUE 92800 PUTEAUX,,,92800,"48.884722222222, 2.240277777778",Projet approuvé,En service,Projet approuvé
FREE MOBILE,2186247,LTE 2100,,2 ALLEE DU GRAND LOGIS,,,17200,"45.635555555556, -1.028055555556",Projet approuvé,En service,Projet approuvé
FREE MOBILE,2169493,LTE 2100,,rue Joseph Cugnot,,,71380,"46.7625, 4.868888888889",Projet approuvé,En service,Projet approuvé
FREE MOBILE,2189846,LTE 2100,,Domaine de Gros Bois,,,94440,"48.733333333333, 2.544722222222",Projet approuvé,En service,Projet approuvé
FREE MOBILE,2173811,LTE 2100,,SDIS départemental 449,rond point du canada,,91510,"48.526944444444, 2.2875",Projet approuvé,En service,Projet approuvé
FREE MOBILE,2149765,LTE 2100,,ROUTE DE CREHAL,Entre Créhal et Lomener,A côté du Château d'eau,56590,"47.632777777778, -3.458888888889",Projet approuvé,En service,Projet approuvé
FREE MOBILE,2176063,LTE 2100,avenue de Sénigallia,168 av de Senigallia,,,89100,"48.184722222222, 3.285833333333",Projet approuvé,En service,Projet approuvé
FREE MOBILE,2154888,LTE 2100,,4 AVENUE DU PRESIDENT WILSON,,,41000,"47.583888888889, 1.339444444444",Projet approuvé,En service,Projet approuvé
FREE MOBILE,2135261,LTE 2100,,1500 AVENUE DES GLIERES,,,74300,"46.075833333333, 6.563333333333",Projet approuvé,En service,Projet approuvé
FREE MOBILE,2116875,LTE 2100,LE HAUT DE LA TRINITE,CHEMIN DE STAO SOUBRAN,,,6340,"43.738611111111, 7.322222222222",Projet approuvé,En service,Projet approuvé
FREE MOBILE,2116877,LTE 2100,,CHAMP IMPORTUN,,,14790,"49.158611111111, -.479444444444",Projet approuvé,En service,Projet approuvé
FREE MOBILE,2118426,LTE 2100,,RUE DE MARY,,,77440,"48.986666666667, 3.023611111111",Projet approuvé,En service,Projet approuvé
FREE MOBILE,2138232,LTE 2100,,5 RUE DES MINOTIERS,,,49300,"47.051111111111, -.9",Projet approuvé,En service,Projet approuvé
FREE MOBILE,2367765,LTE 2100,Le Petit Rivollet,Route du château d'eau,,,1090,"46.081388888889, 4.789166666667",Projet approuvé,En service,Projet approuvé
FREE MOBILE,2346810,LTE 2100,LA SABLONIERE,,,,59680,"50.232777777778, 4.035833333333",Projet approuvé,En service,Projet approuvé
FREE MOBILE,2349112,LTE 2100,LA BLAISERIE,RUE DES FRERES MORANE,,,86000,"46.591111111111, .323611111111",Projet approuvé,En service,Projet approuvé
FREE MOBILE,2352225,LTE 2100,,Chemin du Mont de la Mottaz,Réservoir de Grande Fontaine,,74120,"45.858333333333, 6.604166666667",Projet approuvé,En service,Projet approuvé
FREE MOBILE,2358815,LTE 2100,,1/5 Rue Basse,,,14000,"49.184722222222, -.358333333333",Projet approuvé,En service,Projet approuvé
FREE MOBILE,2413254,LTE 2100,LES MOUTIERS,RUE DES MOUTIERS,,,44120,"47.133611111111, -1.449444444444",Projet approuvé,En service,Projet approuvé
FREE MOBILE,2402658,LTE 2100,,Rue Antonin Mallat,Bâtiment G -résidence les Ailes -,,3200,"46.141388888889, 3.413888888889",Projet approuvé,En service,Projet approuvé
FREE MOBILE,2402672,LTE 2100,,RUE JEAN JACQUES ROUSSEAU,CITE SERON BAT B,,40100,"43.700555555556, -1.039722222222",Projet approuvé,En service,Projet approuvé
FREE MOBILE,2338765,LTE 2100,,12 AVENUE FEDERICO GARCIA LORCA,,,64000,"43.305833333333, -.355",Projet approuvé,En service,Projet approuvé
FREE MOBILE,2366817,LTE 2100,,Rue de Provence,Résidence BATIGERE,,57240,"49.355, 6.0625",Projet approuvé,En service,Projet approuvé
FREE MOBILE,2284051,LTE 2100,,3 Commandant Le Coutour,,,14000,"49.193611111111, -.377222222222",Projet approuvé,En service,Projet approuvé
FREE MOBILE,2311184,LTE 2100,,RESIDENCE LES ALPES - 20bis AVENUE DU MAQUIS,,,26100,"45.045277777778, 5.0675",Projet approuvé,En service,Projet approuvé
FREE MOBILE,2325799,LTE 2100,,7 Boulevard des Entreprises,ZI DE VAURE,,42600,"45.621111111111, 4.067777777778",Projet approuvé,En service,Projet approuvé
FREE MOBILE,2313101,LTE 2100,,Rue Gabriel Péri,LES DESCARTES,,26800,"44.870555555556, 4.873055555556",Projet approuvé,En service,Projet approuvé
FREE MOBILE,2274328,LTE 2600,,9 Place de la Résistance,,,94500,"48.813611111111, 2.558333333333",Projet approuvé,En service,Projet approuvé
FREE MOBILE,2274328,LTE 1800,,9 Place de la Résistance,,,94500,"48.813611111111, 2.558333333333",Projet approuvé,En service,Projet approuvé
FREE MOBILE,2274328,UMTS 900,,9 Place de la Résistance,,,94500,"48.813611111111, 2.558333333333",Projet approuvé,En service,Projet approuvé
FREE MOBILE,2329560,LTE 2100,LE BOIS DU SUD,,,,69620,"45.927777777778, 4.586944444444",Projet approuvé,En service,Projet approuvé
FREE MOBILE,2529030,LTE 1800,,7 Avenue des cures,,,95580,"48.996666666667, 2.294722222222",Projet approuvé,En service,Projet approuvé
FREE MOBILE,2529030,LTE 2600,,7 Avenue des cures,,,95580,"48.996666666667, 2.294722222222",Projet approuvé,En service,Projet approuvé
FREE MOBILE,2529030,UMTS 900,,7 Avenue des cures,,,95580,"48.996666666667, 2.294722222222",Projet approuvé,En service,Projet approuvé
FREE MOBILE,2529858,UMTS 900,LA FAJOLE,CARRIÉRE D'ALLENC,,,48190,"44.551388888889, 3.65",Projet approuvé,En service,Projet approuvé
FREE MOBILE,2576553,LTE 2100,LE MOULIN,VOIE COMMUNALE 212,,,87520,"45.900277777778, 1.094444444444",Projet approuvé,En service,Projet approuvé
FREE MOBILE,2537770,LTE 700,,LA GARDE,,,43170,"45.010833333333, 3.554722222222",Projet approuvé,En service,Projet approuvé
FREE MOBILE,2537770,UMTS 900,,LA GARDE,,,43170,"45.010833333333, 3.554722222222",Projet approuvé,En service,Projet approuvé
FREE MOBILE,2552917,5G NR 700,,AVENUE DU BOSQUET,D9 A6 N104,,95560,"49.063055555556, 2.324166666667",Projet approuvé,Techniquement opérationnel,Projet approuvé
FREE MOBILE,2552917,5G NR 3500,,AVENUE DU BOSQUET,D9 A6 N104,,95560,"49.063055555556, 2.324166666667",Projet approuvé,Techniquement opérationnel,Projet approuvé
FREE MOBILE,2487499,LTE 2100,,4 R CAMBON,,,75001,"48.866388888889, 2.325555555556",Projet approuvé,En service,Projet approuvé
FREE MOBILE,2451120,LTE 2100,,13 Rue du Docteur Marcotte Soissons,26 rue de Stonne,,2200,"49.388055555556, 3.316666666667",Projet approuvé,En service,Projet approuvé
FREE MOBILE,2495348,LTE 2100,,Pic de Serre Chevalier,,,5240,"44.9125, 6.55",Projet approuvé,En service,Projet approuvé
FREE MOBILE,2436338,LTE 2100,,45 Rue Boulevard Edouard Branly,,,60180,"49.274166666667, 2.461111111111",Projet approuvé,En service,Projet approuvé
FREE MOBILE,2436340,LTE 2100,,4 Rue du Docteur Jean Braillon,,,60000,"49.446944444444, 2.0725",Projet approuvé,En service,Projet approuvé
FREE MOBILE,2422292,LTE 2100,Haut de Damont,La Petite Fosse,,,88000,"48.228888888889, 6.52",Projet approuvé,En service,Projet approuvé
FREE MOBILE,2663718,UMTS 900,BEL AIR,AV DES CARS,,,87700,"45.782777777778, 1.119444444444",Projet approuvé,En service,Projet approuvé
FREE MOBILE,2684323,LTE 2600,,IMP CLOS DU LAC,A20,echangeur montauban sud,82710,"43.929444444444, 1.316944444444",Projet approuvé,En service,Projet approuvé
FREE MOBILE,2684323,LTE 1800,,IMP CLOS DU LAC,A20,echangeur montauban sud,82710,"43.929444444444, 1.316944444444",Projet approuvé,En service,Projet approuvé
FREE MOBILE,2684323,UMTS 900,,IMP CLOS DU LAC,A20,echangeur montauban sud,82710,"43.929444444444, 1.316944444444",Projet approuvé,En service,Projet approuvé
FREE MOBILE,2685651,UMTS 900,LABORIE DE CROC,CHEMIN RURAL DE GRANDU,PROCHE TUNNEL DE MAROT,DEPARTEMENTALE 2,46340,"44.662222222222, 1.338611111111",Projet approuvé,En service,Projet approuvé
FREE MOBILE,2671903,LTE 2100,,32 rue de Fontanieres,,,69100,"45.775833333333, 4.883055555556",Projet approuvé,En service,Projet approuvé
FREE MOBILE,2671903,5G NR 700,,32 rue de Fontanieres,,,69100,"45.775833333333, 4.883055555556",Projet approuvé,Techniquement opérationnel,Projet approuvé
FREE MOBILE,2671903,5G NR 3500,,32 rue de Fontanieres,,,69100,"45.775833333333, 4.883055555556",Projet approuvé,Techniquement opérationnel,Projet approuvé
FREE MOBILE,2705552,LTE 1800,,252 Avenue Rubillard,,,72000,"48.013888888889, .171388888889",Projet approuvé,En service,Projet approuvé
FREE MOBILE,2705552,LTE 2600,,252 Avenue Rubillard,,,72000,"48.013888888889, .171388888889",Projet approuvé,En service,Projet approuvé
FREE MOBILE,2705552,UMTS 900,,252 Avenue Rubillard,,,72000,"48.013888888889, .171388888889",Projet approuvé,En service,Projet approuvé
FREE MOBILE,2653599,UMTS 900,LES RIBES,CHEM DE ST GENS,,,84800,"43.948055555556, 5.113055555556",Projet approuvé,En service,Projet approuvé
FREE MOBILE,2676074,LTE 2100,SALECRUS,A75 D909,,,15100,"45.094722222222, 3.125",Projet approuvé,En service,Projet approuvé
FREE MOBILE,2655469,LTE 2100,BONNETERRE,COURS DOCTEUR JEAN DAMIDOT,,,69100,"45.7625, 4.886944444444",Projet approuvé,En service,Projet approuvé
FREE MOBILE,2655469,5G NR 700,BONNETERRE,COURS DOCTEUR JEAN DAMIDOT,,,69100,"45.7625, 4.886944444444",Projet approuvé,Techniquement opérationnel,Projet approuvé
FREE MOBILE,2655469,5G NR 3500,BONNETERRE,COURS DOCTEUR JEAN DAMIDOT,,,69100,"45.7625, 4.886944444444",Projet approuvé,Techniquement opérationnel,Projet approuvé
FREE MOBILE,2655477,LTE 1800,,3 rue gustave eiffel,,,77140,"48.259166666667, 2.717777777778",Projet approuvé,En service,Projet approuvé
FREE MOBILE,2655477,LTE 2600,,3 rue gustave eiffel,,,77140,"48.259166666667, 2.717777777778",Projet approuvé,En service,Projet approuvé
FREE MOBILE,2655477,UMTS 900,,3 rue gustave eiffel,,,77140,"48.259166666667, 2.717777777778",Projet approuvé,En service,Projet approuvé
FREE MOBILE,2690284,LTE 1800,,Rue Alfred Kastler Zone SAONEOR,,,71100,"46.815555555556, 4.855555555556",Projet approuvé,En service,Projet approuvé
FREE MOBILE,2690284,LTE 2600,,Rue Alfred Kastler Zone SAONEOR,,,71100,"46.815555555556, 4.855555555556",Projet approuvé,En service,Projet approuvé
FREE MOBILE,2690284,UMTS 900,,Rue Alfred Kastler Zone SAONEOR,,,71100,"46.815555555556, 4.855555555556",Projet approuvé,En service,Projet approuvé
FREE MOBILE,2703301,UMTS 900,EN BENOU,CHEMIN DEL PLAGNOULET,,,31380,"43.721666666667, 1.698055555556",Projet approuvé,En service,Projet approuvé
FREE MOBILE,2691198,LTE 2600,,1 Rue Descartes,,,69100,"45.776111111111, 4.872222222222",Projet approuvé,En service,Projet approuvé
FREE MOBILE,2691198,LTE 1800,,1 Rue Descartes,,,69100,"45.776111111111, 4.872222222222",Projet approuvé,En service,Projet approuvé
FREE MOBILE,2691198,UMTS 900,,1 Rue Descartes,,,69100,"45.776111111111, 4.872222222222",Projet approuvé,En service,Projet approuvé
FREE MOBILE,2658274,LTE 2100,,12 rue des Chevilles,,,85160,"46.791944444444, -2.02",Projet approuvé,En service,Projet approuvé
